what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.24.2.v20180905-0003,"org.eclipse.mylyn.tasks.ui",1607738689131
started,bundle,org.eclipse.oomph.base,1.10.0.v20180706-1242,"org.eclipse.oomph.base",1607738689132
started,bundle,org.eclipse.oomph.base.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.base.edit",1607738689133
started,bundle,org.eclipse.oomph.jreinfo.ui,1.10.0.v20180706-1242,"org.eclipse.oomph.jreinfo.ui",1607738689133
started,bundle,org.eclipse.oomph.p2,1.10.0.v20180706-1242,"org.eclipse.oomph.p2",1607738689133
started,bundle,org.eclipse.oomph.p2.core,1.10.0.v20180712-0540,"org.eclipse.oomph.p2.core",1607738689134
started,bundle,org.eclipse.oomph.p2.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.p2.edit",1607738689135
started,bundle,org.eclipse.oomph.p2.ui,1.10.0.v20180829-1028,"org.eclipse.oomph.p2.ui",1607738689136
started,bundle,org.eclipse.oomph.setup,1.10.0.v20180828-0705,"org.eclipse.oomph.setup",1607738689136
started,bundle,org.eclipse.oomph.setup.core,1.10.0.v20180714-0556,"org.eclipse.oomph.setup.core",1607738689136
started,bundle,org.eclipse.oomph.setup.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.setup.edit",1607738689137
started,bundle,org.eclipse.oomph.setup.p2.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.setup.p2.edit",1607738689137
started,bundle,org.eclipse.oomph.setup.ui,1.10.0.v20180904-1112,"org.eclipse.oomph.setup.ui",1607738689138
started,bundle,org.eclipse.oomph.ui,1.10.0.v20180904-1112,"org.eclipse.oomph.ui",1607738689139
started,bundle,org.eclipse.oomph.util,1.10.0.v20180706-1242,"org.eclipse.oomph.util",1607738689140
started,bundle,org.eclipse.pde.core,3.12.100.v20180829-1412,"org.eclipse.pde.core",1607738689141
started,bundle,org.eclipse.pde.ds.annotations,1.1.200.v20180827-1309,"org.eclipse.pde.ds.annotations",1607738689142
started,bundle,org.eclipse.pde.launching,3.7.200.v20180827-1331,"org.eclipse.pde.launching",1607738689142
started,bundle,org.eclipse.pde.ui,3.10.400.v20180829-0709,"org.eclipse.pde.ui",1607738689169
started,bundle,org.eclipse.team.core,3.8.300.v20180827-1041,"org.eclipse.team.core",1607738689199
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1607738689201
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1607738689202
started,bundle,org.eclipse.team.ui,3.8.200.v20180827-1338,"org.eclipse.team.ui",1607738689203
started,bundle,org.eclipse.tm.terminal.view.ui,4.5.0.201808290101,"org.eclipse.tm.terminal.view.ui",1607738689204
started,bundle,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui",1607738689205
started,bundle,org.eclipse.ui.console,3.8.100.v20180821-1744,"org.eclipse.ui.console",1607738689205
started,bundle,org.eclipse.ui.editors,3.11.200.v20180822-1511,"org.eclipse.ui.editors",1607738689205
started,bundle,org.eclipse.ui.ide,3.14.100.v20180828-1350,"org.eclipse.ui.ide",1607738689207
started,bundle,org.eclipse.ui.ide.application,1.3.0.v20180828-1350,"org.eclipse.ui.ide.application",1607738689208
started,bundle,org.eclipse.ui.intro,3.5.300.v20180823-1505,"org.eclipse.ui.intro",1607738689209
