what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.m2e.core,1.9.1.20180912-1601,"org.eclipse.m2e.core",1608119788776
stopped,bundle,com.ibm.jee.jpa.core,1.201.101.v20190912_1541,"com.ibm.jee.jpa.core",1608119788779
stopped,bundle,com.ibm.ast.ws.jaxws.tools,1.0.600.v20190912_1541,"com.ibm.ast.ws.jaxws.tools",1608119788783
stopped,bundle,com.ibm.ws.st.jee.ui,1.0.453.v2019-09-12_1422,"com.ibm.ws.st.jee.ui",1608119788785
stopped,bundle,com.ibm.ws.st.osgi.ui,1.0.603.v20190912_1541,"com.ibm.ws.st.osgi.ui",1608119788787
stopped,bundle,com.ibm.ws.st.ui.ext,1.0.3.v20190912_1541,"com.ibm.ws.st.ui.ext",1608119788789
stopped,bundle,com.ibm.ws.st.ui,1.0.710.v2019-09-12_1422,"com.ibm.ws.st.ui",1608119788789
stopped,bundle,com.ibm.wdt.install.ui,1.0.12.v20190912_1541,"com.ibm.wdt.install.ui",1608119788792
stopped,bundle,org.eclipse.epp.mpc.ui,1.7.7.v20190521-1752,"org.eclipse.epp.mpc.ui",1608119788792
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201802082131,"org.eclipse.jst.j2ee.xdoclet.runtime",1608119788794
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.300.v201802231941,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1608119788797
stopped,bundle,com.ibm.etools.aries.rad.ext.ui,1.6.2.v20190912_1541,"com.ibm.etools.aries.rad.ext.ui",1608119788798
stopped,bundle,com.ibm.etools.aries.websphere.v85.ui,1.5.200.v20190912_1541,"com.ibm.etools.aries.websphere.v85.ui",1608119788801
stopped,bundle,com.ibm.etools.aries.websphere.ui,1.6.2.v20190912_1541,"com.ibm.etools.aries.websphere.ui",1608119788946
stopped,bundle,com.ibm.etools.aries.ui,2.1.700.v20190912_1541,"com.ibm.etools.aries.ui",1608119788950
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.4.101.201807022034,"org.eclipse.datatools.connectivity.oda.template.ui",1608119789101
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.2.101.201807022034,"org.eclipse.datatools.connectivity.ui.templates",1608119789366
stopped,bundle,org.eclipse.datatools.sdk,1.9.101.201807021829,"org.eclipse.datatools.sdk",1608119789370
stopped,bundle,org.eclipse.pde.api.tools.ui,1.1.400.v20180827-1618,"org.eclipse.pde.api.tools.ui",1608119789370
stopped,bundle,org.eclipse.pde.ds.annotations,1.1.200.v20180827-1309,"org.eclipse.pde.ds.annotations",1608119789370
stopped,bundle,org.eclipse.pde.ds.ui,1.1.300.v20180827-1309,"org.eclipse.pde.ds.ui",1608119789379
stopped,bundle,org.eclipse.pde.genericeditor.extension,1.0.200.v20180827-1331,"org.eclipse.pde.genericeditor.extension",1608119789380
stopped,bundle,org.eclipse.pde.runtime,3.6.200.v20180827-1331,"org.eclipse.pde.runtime",1608119789383
stopped,bundle,org.eclipse.pde.ua.ui,1.1.300.v20180827-1330,"org.eclipse.pde.ua.ui",1608119789394
stopped,bundle,org.jboss.tools.hibernate.xml.ui,5.1.4.v20170306-1242,"org.jboss.tools.hibernate.xml.ui",1608119789582
stopped,bundle,org.jboss.tools.common.model.ui,3.8.4.v20170316-1803,"org.jboss.tools.common.model.ui",1608119789582
